id,,imdb_title_id,title,original_title,year,genre,country,language,votes
77,,tt8158828,"Nu, zdravstvuy, Oksana Sokolova!","Nu, zdravstvuy, Oksana Sokolova!",2018,Comedy,Russia,Russian,141
78,,tt8160694,Trabajo Sucio,Trabajo Sucio,2018,Comedy,Dominican Republic,Spanish,196
79,,tt8166164,Bee Nest,Bee Nest,2018,Comedy,Iran,Persian,267
80,,tt8175968,High Jack,High Jack,2018,Comedy,India,Hindi,280
81,,tt8177638,The Good Exorcist,The Good Exorcist,2018,Comedy,USA,English,102
82,,tt8183556,Karimi Gördünüz Mü?,Karimi Gördünüz Mü?,2018,Comedy,Turkey,Turkish,239
83,,tt8183594,Eyvah Karim,Eyvah Karim,2018,Comedy,Turkey,Turkish,547
84,,tt8206708,Carry On Jatta 2,Carry on Jatta 2,2018,Comedy,India,Punjabi,934
85,,tt8221676,Vadhayiyaan Ji Vadhayiyaan,Vadhayiyaan Ji Vadhayiyaan,2018,Comedy,India,Punjabi,361
86,,tt8222342,Ti presento Sofia,Ti presento Sofia,2018,Comedy,Italy,Italian,442
87,,tt8234866,Vechnaya zhizn Aleksandra Khristoforova,Vechnaya zhizn Aleksandra Khristoforova,2018,Comedy,Russia,Russian,130
88,,tt8236566,The Dip Run,The Dip Run,2018,Comedy,USA,English,169
89,,tt8255490,Surviving Christmas with the Relatives,Surviving Christmas with the Relatives,2018,Comedy,UK,English,505
90,,tt8264546,1991,1991,2018,Comedy,Canada,"French, Italian, English, German, Greek, Spanish",589
91,,tt8299800,Li Cha de gu ma,Li Cha de gu ma,2018,Comedy,China,Chinese,225
92,,tt8338754,Vaibhav Sethia: Don't,Vaibhav Sethia: Don't,2018,Comedy,India,"English, Hindi",164
93,,tt8354414,Tonno spiaggiato,Tonno spiaggiato,2018,Comedy,Italy,Italian,288
94,,tt8363908,Horndogs Beach Party,Horndogs Beach Party,2018,Comedy,USA,English,102
95,,tt8365432,As Zvaigzde,As Zvaigzde,2018,Comedy,Lithuania,Lithuanian,296
96,,tt8402090,Cumali Ceber 2,Cumali Ceber 2,2018,Comedy,Turkey,Turkish,8183
