id,id,imdb_title_id,title,original_title,year,genre,country,language,votes,,,,,
61,61,tt11812338,Honest Candidate,Honest Candidate,2020,Comedy,,,180,,,,,
62,62,tt11833648,Shams al-Maaref,Shams al-Maaref,2020,Comedy,Saudi Arabia,Arabic,1075,,,,,
63,63,tt12323842,Gina Brillon: The Floor is Lava,Gina Brillon: The Floor is Lava,2020,Comedy,USA,English,107,,,,,
64,64,tt12344410,French Biriyani,French Biriyani,2020,Comedy,India,Kannada,751,,,,,
65,65,tt12395462,Groeten van Gerri,Groeten van Gerri,2020,Comedy,Netherlands,Dutch,492,,,,,
66,66,tt12764048,Steve-O: Gnarly,Steve-O: Gnarly,2020,Comedy,USA,English,178,,,,,
67,67,tt2989692,Fat Ass Zombies,Fat Ass Zombies,2020,Comedy,USA,,148,,,,,
68,68,tt3734580,Ghoomketu,Ghoomketu,2020,Comedy,India,Hindi,2587,,,,,
69,69,tt4344624,Deported,Deported,2020,Comedy,USA,English,221,,,,,
70,70,tt5079362,Reality Queen!,Reality Queen!,2020,Comedy,USA,English,217,,,,,
71,71,tt5873892,Yahan Sabhi Gyani Hain,Yahan Sabhi Gyani Hain,2020,Comedy,India,Hindi,206,,,,,
72,72,tt6833470,The Swing of Things,The Swing of Things,2020,Comedy,USA,English,570,,,,,
73,73,tt6902000,Make America White Again,Make America White Again,2020,Comedy,USA,"English, Mandarin, Russian, Spanish",109,,,,,
74,74,tt7263182,Bob Rubin: Oddities and Rarities,Bob Rubin: Oddities and Rarities,2020,Comedy,USA,English,141,,,,,
75,75,tt7311770,The Bet,The Bet,2020,Comedy,"Canada, UK",English,122,,,,,
76,76,tt7400952,Vampire Dad,Vampire Dad,2020,Comedy,,English,118,,,,,
77,77,tt7453044,Holly Slept Over,Holly Slept Over,2020,Comedy,,English,789,,,,,
78,78,tt7541838,Sex and the Future,Sex and the Future,2020,Comedy,USA,English,248,,,,,
79,79,tt7661376,2 Minutes of Fame,2 Minutes of Fame,2020,Comedy,USA,English,273,,,,,
80,80,tt7749142,Die Känguru-Chroniken,Die Känguru-Chroniken,2020,Comedy,Germany,"German, English",1306,,,,,
81,81,tt8145202,The F**k-It List - La lista dei fanculo,The F**k-It List,2020,Comedy,USA,English,3515,,,,,
82,82,tt8200456,Cindy La Regia,Cindy La Regia,2020,Comedy,Mexico,Spanish,1052,,,,,
83,83,tt8560172,The Very Excellent Mr. Dundee,The Very Excellent Mr. Dundee,2020,Comedy,"USA, Australia",English,617,,,,,
84,84,tt8633560,Lazy Susan,Lazy Susan,2020,Comedy,USA,English,392,,,,,
85,85,tt8976664,My Boyfriend's Meds,My Boyfriend's Meds,2020,Comedy,Mexico,Spanish,289,,,,,
86,86,tt9014248,Rebelión de los Godínez,Rebelión de los Godínez,2020,Comedy,Mexico,Spanish,327,,,,,
87,87,tt9059704,An American Pickle,An American Pickle,2020,Comedy,USA,"English, Hebrew",9886,,,,,
88,88,tt9207700,Made in Italy,Made in Italy,2020,Comedy,"UK, Italy",English,1455,,,,,
89,89,tt9208444,Impractical Jokers: The Movie,Impractical Jokers: The Movie,2020,Comedy,USA,English,4105,,,,,
90,90,tt9248952,Jawaani Jaaneman,Jawaani Jaaneman,2020,Comedy,India,Hindi,5378,,,,,
91,91,tt9303772,Divorce Club,Divorce Club,2020,Comedy,France,French,153,,,,,
92,92,tt9359344,"Ti amo, imbecille","Te quiero, imbécil",2020,Comedy,Spain,Spanish,2215,,,,,
93,93,tt9372172,Forte,Forte,2020,Comedy,France,French,330,,,,,
94,94,tt9568486,Mine de rien,Mine de rien,2020,Comedy,France,French,111,,,,,
95,95,tt9908390,Le lion,Le lion,2020,Comedy,"France, Belgium",French,398,,,,,
96,96,tt11192054,Suriname,Suriname,2020,Crime,Netherlands,Dutch,168,,,,,
97,97,tt4875960,1 Interrogation,1 Interrogation,2020,Crime,USA,"English, Russian",1036,,,,,
98,98,tt8241876,5th Borough,5th Borough,2020,Crime,USA,English,1178,,,,,
99,99,tt10117768,Schwesterlein,Schwesterlein,2020,Drama,"Switzerland, Germany","German, French, English",265,,,,,
100,100,tt10132976,Le sel des larmes,Le sel des larmes,2020,Drama,"France, Switzerland",French,210,,,,,
101,101,tt10230436,Yeh Ballet,Yeh Ballet,2020,Drama,India,Hindi,777,,,,,
102,102,tt10244008,Ghost,Ghost,2020,Drama,UK,English,212,,,,,
103,103,tt10264878,A Stormy Night,A Stormy Night,2020,Drama,Spain,English,168,,,,,
104,104,tt10268550,Minyan,Minyan,2020,Drama,USA,"English, Hebrew, Yiddish, Russian, German",121,,,,,
105,105,tt10272386,The Father,The Father,2020,Drama,"UK, France",English,148,,,,,
106,106,tt10389922,Ar Condicionado,Ar Condicionado,2020,Drama,Angola,Portuguese,118,,,,,
107,107,tt10457128,Été 85,Été 85,2020,Drama,"France, Belgium","French, English",519,,,,,
108,108,tt10582422,Sweet Sunshine,Sweet Sunshine,2020,Drama,,English,216,,,,,
109,109,tt10633456,Minari,Minari,2020,Drama,USA,English,167,,,,,
110,110,tt10816484,18 regali,18 regali,2020,Drama,Italy,Italian,2355,,,,,
111,111,tt10937434,Ultras,Ultras,2020,Drama,Italy,Italian,3796,,,,,
112,112,tt10944744,The Escape from Auschwitz,The Escape from Auschwitz,2020,Drama,UK,English,141,,,,,
113,113,tt10964430,Thappad,Thappad,2020,Drama,India,Hindi,12934,,,,,
114,114,tt10964468,Shakuntala Devi,Shakuntala Devi,2020,Drama,India,Hindi,6599,,,,,
115,115,tt11010804,Jesus,Jesus,2020,Drama,,,230,,,,,
116,116,tt11018402,Filles de joie,Filles de joie,2020,Drama,"Belgium, France",French,164,,,,,
117,117,tt11024608,Johaar,Johaar,2020,Drama,India,Telugu,199,,,,,
118,118,tt11051580,A Day & A Night,A Day & A Night,2020,Drama,Egypt,Arabic,140,,,,,
119,119,tt11216782,Lockup,Lockup,2020,Drama,India,Tamil,175,,,,,
120,120,tt11235142,Dia,Dia,2020,Drama,India,Kannada,3292,,,,,
121,121,tt11280912,Maarjaara Oru Kalluvacha Nuna,Maarjaara Oru Kalluvacha Nuna,2020,Drama,India,Malayalam,347,,,,,
122,122,tt11318044,Dhurala,Dhurala,2020,Drama,India,Marathi,104,,,,,
123,123,tt11318228,Vaanam Kottattum,Vaanam Kottattum,2020,Drama,India,Tamil,425,,,,,
124,124,tt11394158,Miss Juneteenth,Miss Juneteenth,2020,Drama,USA,,529,,,,,
125,125,tt11493046,Pilsata pi upis,Pilsata pi upis,2020,Drama,"Latvia, Czech Republic, Lithuania","Latvian, German, Russian, Yiddish",188,,,,,
126,126,tt11497346,Malgudi Days,Malgudi Days,2020,Drama,India,Kannada,153,,,,,
127,127,tt11497480,Asur,Asur,2020,Drama,India,Bengali,682,,,,,
128,128,tt11497808,Sraboner Dhara,Sraboner Dhara,2020,Drama,India,Bengali,131,,,,,
129,129,tt11506054,Uma Maheswara Ugra Roopasya,Uma Maheswara Ugra Roopasya,2020,Drama,India,Telugu,898,,,,,
130,130,tt11559138,El cazador,El cazador,2020,Drama,Argentina,Spanish,163,,,,,
131,131,tt11651604,Silencer,Silencer,2020,Drama,India,Malayalam,466,,,,,
132,132,tt11651780,Choked: Money Talks,Choked,2020,Drama,India,Hindi,4215,,,,,
133,133,tt11685322,Sweet Thing,Sweet Thing,2020,Drama,USA,English,279,,,,,
134,134,tt11691696,Shukranu,Shukranu,2020,Drama,India,Hindi,500,,,,,
135,135,tt11697690,Domangchin yeoja,Domangchin yeoja,2020,Drama,South Korea,Korean,234,,,,,
136,136,tt11697820,Rizi,Rizi,2020,Drama,"Taiwan, France",Mandarin,281,,,,,
137,137,tt11697832,DAU. Natasha,DAU. Natasha,2020,Drama,"Germany, Ukraine, UK, Russia","Russian, Ukrainian, English",649,,,,,
138,138,tt11697844,Sheytan vojud nadarad,Sheytan vojud nadarad,2020,Drama,"Germany, Iran, Czech Republic","Persian, German",407,,,,,
139,139,tt11737772,Chal Mera Putt 2,Chal Mera Putt 2,2020,Drama,India,Punjabi,152,,,,,
140,140,tt11771036,Exodus,Exodus,2020,Drama,Iran,Persian,324,,,,,
141,141,tt11774804,Court Martial,Court Martial,2020,Drama,India,Hindi,119,,,,,
142,142,tt11779616,Shivaji Surathkal,Shivaji Surathkal,2020,Drama,India,Kannada,369,,,,,
143,143,tt11880890,Joshua,Joshua,2020,Drama,India,Malayalam,471,,,,,
144,144,tt11908062,Zima,Zima,2020,Drama,Russia,Russian,823,,,,,
145,145,tt12256440,DAU. Tri diya,DAU. Tri diya,2020,Drama,"Germany, Ukraine, UK, Russia","Russian, Greek",119,,,,,
146,146,tt12642180,Ram Singh Charlie,Ram Singh Charlie,2020,Drama,India,Hindi,436,,,,,
147,147,tt12839816,Asalu Em Jarigindhante,Asalu Em Jarigindhante,2020,Drama,India,Telugu,647,,,,,
148,148,tt1715344,Quad,Quad,2020,Drama,USA,,112,,,,,
149,149,tt2197936,Fatima,Fatima,2020,Drama,"Portugal, USA",English,479,,,,,
150,150,tt2222052,My Salinger Year,My Salinger Year,2020,Drama,"Canada, Ireland",English,154,,,,,
151,151,tt3155342,All Together Now,All Together Now,2020,Drama,USA,English,1221,,,,,
152,152,tt3165210,Darcy,Darcy,2020,Drama,USA,English,235,,,,,
153,153,tt3993886,All Day and a Night,All Day and a Night,2020,Drama,USA,English,2598,,,,,
154,154,tt4271826,18% Grey,18% Grey,2020,Drama,"Bulgaria, Germany, Republic of North Macedonia, Serbia, Belgium","English, Bulgarian, German",100,,,,,
155,155,tt4907206,Turnt,Turnt,2020,Drama,USA,English,718,,,,,
156,156,tt5241482,Talita,Talita,2020,Drama,"USA, Romania",English,153,,,,,
157,157,tt5439812,Zola,Zola,2020,Drama,USA,English,154,,,,,
158,158,tt5792124,What the Night Can Do,What the Night Can Do,2020,Drama,USA,English,125,,,,,
159,159,tt5848326,Over-the-Rhine,Over-the-Rhine,2020,Drama,USA,English,105,,,,,
160,160,tt6470924,Berlin Alexanderplatz,Berlin Alexanderplatz,2020,Drama,"Germany, Netherlands, France, Canada","German, English",814,,,,,
161,161,tt6818118,Jumbo,Jumbo,2020,Drama,"France, Belgium, Luxembourg",French,320,,,,,
162,162,tt6857804,Stolen Season,Stolen Season,2020,Drama,Canada,English,716,,,,,
163,163,tt7334158,Sulphur and White,Sulphur and White,2020,Drama,UK,English,105,,,,,
164,164,tt7397176,Krudttønden,Krudttønden,2020,Drama,Denmark,Danish,193,,,,,
165,165,tt7697348,XL: The Temptation of Christ,XL: The Temptation of Christ,2020,Drama,USA,English,126,,,,,
166,166,tt7772582,Mai raramente a volte sempre,Never Rarely Sometimes Always,2020,Drama,"UK, USA",English,6245,,,,,
167,167,tt7838654,Finding Grace,Finding Grace,2020,Drama,USA,English,100,,,,,
168,168,tt7933796,Disclosure,Disclosure,2020,Drama,Australia,English,128,,,,,
169,169,tt8042112,Gypsy,Gypsy,2020,Drama,India,Tamil,485,,,,,
170,170,tt8045906,Words on Bathroom Walls,Words on Bathroom Walls,2020,Drama,USA,English,225,,,,,
171,171,tt8462814,Servants,Servants,2020,Drama,"Slovakia, Romania, Czech Republic, Ireland",Slovak,164,,,,,
172,172,tt8472964,Chintu Ka Birthday,Chintu Ka Birthday,2020,Drama,India,"Hindi, English, Arabic",3269,,,,,
173,173,tt8506500,Betta Fish,Betta Fish,2020,Drama,USA,English,104,,,,,
174,174,tt8526370,Favolacce,Favolacce,2020,Drama,"Italy, Switzerland",Italian,3320,,,,,
175,175,tt8540100,Murder RX,Murder RX,2020,Drama,USA,English,101,,,,,
176,176,tt8630154,Drive Me to the End,Drive Me to the End,2020,Drama,UK,English,178,,,,,
177,177,tt8743262,Békeidõ,Békeidõ,2020,Drama,Hungary,Hungarian,135,,,,,
178,178,tt8820348,I Will Make You Mine,I Will Make You Mine,2020,Drama,USA,English,147,,,,,
179,179,tt8845322,Todos os Mortos,Todos os Mortos,2020,Drama,"Brazil, France",Portuguese,116,,,,,
180,180,tt8892064,Wir,Wir,2020,Drama,Germany,"German, Persian, Arabic",150,,,,,
181,181,tt8902948,Tigertail,Tigertail,2020,Drama,USA,"English, Min Nan, Mandarin",2552,,,,,
182,182,tt8955708,Exil,Exil,2020,Drama,"Germany, Belgium, Kosovo","German, Albanian",108,,,,,
183,183,tt9014656,Narziss und Goldmund,Narziss und Goldmund,2020,Drama,Germany,German,166,,,,,
184,184,tt9044650,Bonus,Bonus,2020,Drama,India,Marathi,227,,,,,
185,185,tt9048802,Otac,Otac,2020,Drama,"Serbia, France, Germany, Slovenia, Croatia, Bosnia and Herzegovina",Serbian,505,,,,,
186,186,tt9179096,Minamata,Minamata,2020,Drama,USA,English,248,,,,,
187,187,tt9261218,Il sommelier,Uncorked,2020,Drama,USA,English,3608,,,,,
188,188,tt9318772,Fukushima 50,Fukushima 50,2020,Drama,Japan,Japanese,166,,,,,
189,189,tt9392248,Gli anni più belli,Gli anni più belli,2020,Drama,Italy,Italian,578,,,,,
190,190,tt9411866,The Roads Not Taken,The Roads Not Taken,2020,Drama,"UK, Sweden, USA, Poland, Spain",English,753,,,,,
191,191,tt9441638,The Big Ugly,The Big Ugly,2020,Drama,USA,English,528,,,,,
192,192,tt9537278,Naadodigal 2,Naadodigal 2,2020,Drama,India,Tamil,132,,,,,
193,193,tt9601220,Black Bear,Black Bear,2020,Drama,USA,English,125,,,,,
194,194,tt9616700,Adú,Adú,2020,Drama,Spain,"French, English, Spanish",1693,,,,,
195,195,tt9701934,Zárójelentés,Zárójelentés,2020,Drama,Hungary,Hungarian,134,,,,,
196,196,tt9737798,Platzspitzbaby,Platzspitzbaby,2020,Drama,Switzerland,Swiss German,214,,,,,
197,197,tt9738784,Persian Lessons,Persian Lessons,2020,Drama,"Russia, Germany, Belarus","German, French, Persian, English, Italian",110,,,,,
198,198,tt9742588,Helene,Helene,2020,Drama,Finland,Finnish,159,,,,,
199,199,tt9843470,La isla de las mentiras,La isla de las mentiras,2020,Drama,"Spain, Portugal, Argentina",Spanish,112,,,,,
200,200,tt9850050,Charter,Charter,2020,Drama,"Sweden, Norway, Denmark","Swedish, English, Spanish",244,,,,,
201,201,tt9890308,Nasir,Nasir,2020,Drama,"India, Netherlands, Singapore",Tamil,214,,,,,
202,202,tt9892094,Mogul Mowgli,Mogul Mowgli,2020,Drama,"UK, USA",,143,,,,,
203,203,tt5244812,Riding Faith,Riding Faith,2020,Family,USA,English,131,,,,,
204,204,tt8976418,Sethum Aayiram Pon,Sethum Aayiram Pon,2020,Family,India,Tamil,208,,,,,
205,205,tt9578746,The Adventure of A.R.I.: My Robot Friend,The Adventure of A.R.I.: My Robot Friend,2020,Family,France,English,152,,,,,
206,206,tt11617492,Orbius,Orbius,2020,Fantasy,Russia,None,225,,,,,
207,207,tt7551824,The Berlin Bride,The Berlin Bride,2020,Fantasy,"USA, Germany",German,151,,,,,
208,208,tt10126434,Scare Me,Scare Me,2020,Horror,USA,English,138,,,,,
209,209,tt10198072,Don't Let Them In,Don't Let Them In,2020,Horror,UK,English,582,,,,,
210,210,tt10419672,Carrion,Carrion,2020,Horror,USA,English,145,,,,,
211,211,tt10423074,The Unborn,The Unborn,2020,Horror,USA,English,192,,,,,
212,212,tt10674930,Abominable,Abominable,2020,Horror,USA,English,591,,,,,
213,213,tt10695464,The Source of Shadows,The Source of Shadows,2020,Horror,USA,English,171,,,,,
