id,id,imdb_title_id,title,original_title,year,genre,country,language,votes,,,,,
276,276,tt10696018,DNA Killer,DNA Killer,2020,Thriller,"Germany, USA",English,101,,,,,
277,277,tt10994102,Lies For Rent,Lies For Rent,2020,Thriller,USA,English,111,,,,,
278,278,tt11027850,Hacked,Hacked,2020,Thriller,India,Hindi,828,,,,,
279,279,tt11041466,Oka Chinna Viramam,Oka Chinna Viramam,2020,Thriller,India,Telugu,248,,,,,
280,280,tt11127512,Heartbeat,Heartbeat,2020,Thriller,USA,,939,,,,,
281,281,tt11239374,Scumbag,Scumbag,2020,Thriller,Slovakia,Slovak,185,,,,,
282,282,tt11634320,Expectant,Expectant,2020,Thriller,USA,English,111,,,,,
283,283,tt11922698,Killer Dream Home,Killer Dream Home,2020,Thriller,USA,English,197,,,,,
284,284,tt12283788,Sinful,Sinful,2020,Thriller,USA,,1041,,,,,
285,285,tt12344428,Law,Law,2020,Thriller,India,Kannada,230,,,,,
286,286,tt1929297,Last Moment of Clarity,Last Moment of Clarity,2020,Thriller,USA,English,1233,,,,,
287,287,tt2819446,False Colors,False Colors,2020,Thriller,USA,English,143,,,,,
288,288,tt5617312,The Bay of Silence,The Bay of Silence,2020,Thriller,UK,"English, French, Italian",768,,,,,
289,289,tt5797184,Escape from Pretoria,Escape from Pretoria,2020,Thriller,"UK, Australia, USA, South Africa",English,15305,,,,,
290,290,tt5815420,2 Graves in the Desert,2 Graves in the Desert,2020,Thriller,France,English,190,,,,,
291,291,tt7535290,Lei è la mia pazzia,Stalker's Prey 2,2020,Thriller,USA,English,150,,,,,
292,292,tt7711170,Alone,Alone,2020,Thriller,USA,English,246,,,,,
293,293,tt7918240,Ánima,Ánima,2020,Thriller,Mexico,Spanish,205,,,,,
294,294,tt7922944,The Mentor,The Mentor,2020,Thriller,USA,English,113,,,,,
295,295,tt7996520,Lone Wolf Survival Kit,Lone Wolf Survival Kit,2020,Thriller,USA,,126,,,,,
296,296,tt8170358,Green Rush,Green Rush,2020,Thriller,USA,English,143,,,,,
297,297,tt8186932,M.O.M.: Mothers of Monsters,M.O.M.: Mothers of Monsters,2020,Thriller,USA,English,642,,,,,
298,298,tt8265146,Ateet,Ateet,2020,Thriller,India,Hindi,159,,,,,
299,299,tt8362228,The Stand at Paxton County,The Stand at Paxton County,2020,Thriller,USA,English,633,,,,,
300,300,tt8368512,Ironbark,Ironbark,2020,Thriller,UK,English,103,,,,,
301,301,tt8386654,Torn: Dark Bullets,Torn: Dark Bullets,2020,Thriller,Canada,English,483,,,,,
302,302,tt8430676,Shepard,Shepard,2020,Thriller,USA,,104,,,,,
303,303,tt8985240,Hotwired in Suburbia,Hotwired in Suburbia,2020,Thriller,Canada,English,188,,,,,
304,304,tt9248110,Allagash,Allagash,2020,Thriller,USA,English,720,,,,,
305,305,tt7294150,Ba Bai,Ba Bai,2020,War,China,Chinese,387,,,,,
306,306,tt8810394,The Point of No Return,The Point of No Return,2020,War,UK,,159,,,,,
307,307,tt9904802,Enemy Lines,Enemy Lines,2020,War,UK,"English, Polish, Russian, German",764,,,,,
308,308,tt10880084,The Warrant,The Warrant,2020,Western,USA,English,213,,,,,
309,309,tt9302994,Soldier's Heart,Soldier's Heart,2020,Western,USA,English,724,,,,,
