id,sub_id,imdb_title_id,title,original_title,year,genre,country,language,votes
65,65,tt6933338,José,José,2018,Drama,"Guatemala, USA",Spanish,409
66,66,tt6933454,Puzzle,Puzzle,2018,Drama,USA,English,5930
67,67,tt6952960,Lontano da qui,The Kindergarten Teacher,2018,Drama,"USA, Israel, UK, Canada",English,12343
68,68,tt6961808,Tutti i ricordi di Claire,La dernière folie de Claire Darling,2018,Drama,France,French,701
69,69,tt6964554,Kupi menya,Kupi menya,2018,Drama,Russia,Russian,339
70,70,tt7163824,Teret,Teret,2018,Drama,"Serbia, France, Croatia, Iran, Qatar",Serbian,1227
71,71,tt7176472,Vierges,Vierges,2018,Drama,"France, Israel, Belgium",Hebrew,183
72,72,tt7491144,Quel giorno d'estate,Amanda,2018,Drama,France,"French, English",1826
73,73,tt8011288,Goli Soda 2,Goli Soda 2,2018,Drama,India,Tamil,646
74,74,tt8011324,Seethakaathi,Seethakaathi,2018,Drama,India,Tamil,719
75,75,tt8766224,Ne Bom Vec Luzerka,Ne Bom Vec Luzerka,2018,Drama,Slovenia,Slovenian,225
76,76,tt8769528,Dead Horse Nebula,Dead Horse Nebula,2018,Drama,Turkey,Turkish,252
77,77,tt4578598,Behind the Walls,Behind the Walls,2018,Horror,USA,English,228
78,78,tt4602554,Sick for Toys,Sick for Toys,2018,Horror,USA,English,545
79,79,tt6384720,A Taste of Phobia,A Taste of Phobia,2018,Horror,UK,English,188
80,80,tt6389802,Mohini,Mohini,2018,Horror,India,Tamil,268
81,81,tt6423998,Killer Unicorn,Killer Unicorn,2018,Horror,USA,English,134
82,82,tt6424188,Betsy,Betsy,2018,Horror,USA,English,125
83,83,tt6524704,Here Be Dragons,Here Be Dragons,2018,Horror,UK,English,174
84,84,tt6592124,Mandy the Doll,Mandy the Doll,2018,Horror,UK,English,193
85,85,tt7717990,Alem-i Cin,Alem-i Cin,2018,Horror,Turkey,Turkish,191
86,86,tt7738930,Üç Harfliler: Beddua,Üç Harfliler: Beddua,2018,Horror,Turkey,Turkish,967
87,87,tt7819394,Epidemic,Epidemic,2018,Horror,USA,English,190
88,88,tt7900528,Let's Not Meet,Let's Not Meet,2018,Horror,USA,English,1062
89,89,tt7906262,Bride of Scarecrow,Bride of Scarecrow,2018,Horror,UK,English,125
90,90,tt7959500,The Farm,The Farm,2018,Horror,USA,English,1869
91,91,tt7962932,I'll Take Your Dead,I'll Take Your Dead,2018,Horror,Canada,English,2903
92,92,tt7966586,Kapalak Kizi,Kapalak Kizi,2018,Horror,Turkey,Turkish,504
93,93,tt7975674,Reborn,Reborn,2018,Horror,USA,English,406
94,94,tt7976502,Pari,Pari,2018,Horror,Pakistan,Urdu,133
95,95,tt7981182,Danur 2: Maddah,Danur 2: Maddah,2018,Horror,Indonesia,Indonesian,354
96,96,tt8021048,Survive The Hollow Shoals,Survive The Hollow Shoals,2018,Horror,USA,English,250
97,97,tt8025310,The Odds,The Odds,2018,Horror,USA,English,805
98,98,tt8113950,Last American Horror Show,Last American Horror Show,2018,Horror,USA,English,292
99,99,tt9143166,Blood Falls,Blood Falls,2018,Horror,USA,English,100
100,100,tt9174800,Zong xie,Zong xie,2018,Horror,Taiwan,Mandarin,169
101,101,tt8208098,Pyaar Prema Kaadhal,Pyaar Prema Kaadhal,2018,Romance,India,Tamil,884
102,102,tt8269204,Ammammagarillu,Ammammagarillu,2018,Romance,India,Telugu,122
103,103,tt8344532,Tej... I Love You,Tej... I Love You,2018,Romance,India,Telugu,295
104,104,tt8590992,Paper Boy,Paper Boy,2018,Romance,India,Telugu,225
105,105,tt8637534,Yanimda Kal,Yanimda Kal,2018,Romance,Turkey,Turkish,300
106,106,tt8650270,Nannu Dochukunduvate,Nannu Dochukunduvate,2018,Romance,India,Telugu,396
107,107,tt8674418,24 Kisses,24 Kisses,2018,Romance,India,Telugu,130
108,108,tt8710128,The Day After Valentine's,The Day After Valentine's,2018,Romance,Philippines,"Filipino, Tagalog",133
109,109,tt8718066,Kakugo wa ii ka soko no joshi.,Kakugo wa ii ka soko no joshi.,2018,Romance,Japan,Japanese,108
110,110,tt9081562,Bi bei shang geng bei shang de gu shi,Bi bei shang geng bei shang de gu shi,2018,Romance,Taiwan,Mandarin,833
111,111,tt9226154,Krymskiy most. Sdelano s lyubovyu!,Krymskiy most. Sdelano s lyubovyu!,2018,Romance,Russia,Russian,849
112,112,tt4469518,Genesis,Genesis,2018,Sci-Fi,UK,English,898
113,113,tt4566780,Gray Matter,Gray Matter,2018,Sci-Fi,Canada,English,275
114,114,tt6179746,The Gateway,The Gateway,2018,Sci-Fi,Australia,English,3869
115,115,tt6245274,Spider-Man 2: Another World,Spider-Man 2: Another World,2018,Sci-Fi,UK,English,255
116,116,tt6613878,Clara,Clara,2018,Sci-Fi,"Canada, USA",English,2976
117,117,tt5468130,Havana Darkness,Havana Darkness,2018,Thriller,USA,"English, Spanish",494
118,118,tt5478700,Dagenham,Dagenham,2018,Thriller,UK,English,121
119,119,tt8084572,Intensive Care,Intensive Care,2018,Thriller,USA,English,163
120,120,tt8085616,Shohrat the Trap,Shohrat the Trap,2018,Thriller,India,Hindi,101
121,121,tt8105846,His Perfect Obsession,His Perfect Obsession,2018,Thriller,Canada,English,170
122,122,tt8145968,Tutto quello che non so di lui,Her Boyfriend's Secret,2018,Thriller,USA,English,223
123,123,tt9460430,Bagh bandi khela,Bagh bandi khela,2018,Thriller,India,Bengali,159
124,124,tt9855990,Nightmare Tenant,Nightmare Tenant,2018,Thriller,USA,English,160
