id,sub_id,imdb_title_id,title,original_title,year,genre,country,language,votes
78,78,tt7475886,Invoking 4,Invoking 4,2017,Horror,USA,English,234
79,79,tt7549892,Terrorizzati,Aterrados,2017,Horror,Argentina,Spanish,10026
80,80,tt7579788,The Cropsey Incident,The Cropsey Incident,2017,Horror,USA,English,196
81,81,tt7583968,Night Howl,Night Howl,2017,Horror,USA,English,148
82,82,tt7631786,Charlotte,Charlotte,2017,Horror,USA,English,237
83,83,tt7736104,Gwai mong,Gwai mong,2017,Horror,Hong Kong,Cantonese,106
84,84,tt7741530,Devil's Trail,Devil's Trail,2017,Horror,USA,English,150
85,85,tt7777074,Paranormal Farm,Paranormal Farm,2017,Horror,UK,English,126
86,86,tt7791106,Shob Bhooturey,Shob Bhooturey,2017,Horror,India,Bengali,165
87,87,tt7797926,Parched,Parched,2017,Horror,USA,English,179
88,88,tt7973688,Dimension Z,Dimension Z,2017,Horror,USA,English,148
89,89,tt3752610,2 anni d'amore,2 Years of Love,2017,Romance,USA,,242
90,90,tt4714454,100 tula para kay Stella,100 tula para kay Stella,2017,Romance,Philippines,"Filipino, Tagalog",373
91,91,tt5855402,Present Perfect,Present Perfect,2017,Romance,"Thailand, Japan",Thai,150
92,92,tt5902484,Kaatru Veliyidai,Kaatru Veliyidai,2017,Romance,India,Tamil,1724
93,93,tt5947582,Art Show Bingo,Art Show Bingo,2017,Romance,USA,English,195
94,94,tt5956006,Chun Kiu gau Chi Ming,Chun Kiu gau Chi Ming,2017,Romance,"China, Hong Kong","Cantonese, Mandarin",870
95,95,tt6431324,"I'm Drunk, I Love You","I'm Drunk, I Love You",2017,Romance,Philippines,"Filipino, Tagalog",233
96,96,tt3984432,Ghost Source Zero,Ghost Source Zero,2017,Sci-Fi,USA,English,257
97,97,tt5872888,The Generator,The Generator,2017,Sci-Fi,UK,English,143
98,98,tt6891976,Alien Reign of Man,Alien Reign of Man,2017,Sci-Fi,USA,English,468
99,99,tt7233012,Life Guidance,Life Guidance,2017,Sci-Fi,Austria,German,157
100,100,tt7651078,The Invisible Man,The Invisible Man,2017,Sci-Fi,USA,English,161
101,101,tt7931422,Yocho,Yocho,2017,Sci-Fi,Japan,Japanese,292
102,102,tt5971716,Fratelli di sangue,Splitting Image,2017,Thriller,USA,English,155
103,103,tt5990066,Bad Match,Bad Match,2017,Thriller,"Singapore, USA",,3593
104,104,tt6087562,Hitsuji no ki,Hitsuji no ki,2017,Thriller,Japan,Japanese,421
105,105,tt6117492,Jahr des Tigers,Jahr des Tigers,2017,Thriller,Germany,German,169
106,106,tt6118058,Maroon,Maroon,2017,Thriller,India,Hindi,264
107,107,tt6194850,Zero 3,Zero 3,2017,Thriller,Lithuania,Lithuanian,1176
108,108,tt6750888,Saab Bahadar,Saab Bahadar,2017,Thriller,India,Punjabi,193
109,109,tt6752320,High Heel Homicide,High Heel Homicide,2017,Thriller,USA,English,237
110,110,tt6779396,Cash on Delivery,Cash on Delivery,2017,Thriller,India,Gujarati,127
111,111,tt6300886,Broken Ghost,Broken Ghost,2017,Thriller,USA,English,311
