id,sub_id,imdb_title_id,title,original_title,year,genre,country,language,votes
1,1,tt3724490,Death Fighter,Death Fighter,2017,Action,USA,English,1001
2,2,tt4247828,Blood Circus,Blood Circus,2017,Action,USA,English,118
3,3,tt4447090,Instant Death,Instant Death,2017,Action,UK,English,411
4,4,tt4451006,Armstrong,Armstrong,2017,Action,USA,English,284
5,5,tt5010982,Elite,Elite,2017,Action,USA,English,283
6,6,tt5305352,Valentine,Valentine,2017,Action,Indonesia,"Indonesian, English",504
7,7,tt5467852,Shinjuku suwan II,Shinjuku suwan II,2017,Action,Japan,"Japanese, English",175
8,8,tt5667516,Black Site Delta,Black Site Delta,2017,Action,USA,English,957
9,9,tt6220406,Gam man da song si,Gam man da song si,2017,Action,"Hong Kong, China",Cantonese,314
10,10,tt6405208,Mufti,Mufti,2017,Action,India,Kannada,1141
11,11,tt6428774,Justice League: Dawn of Apokolips,Justice League: Dawn of Apokolips,2017,Action,USA,English,298
12,12,tt6502580,Chunkzz,Chunkzz,2017,Comedy,India,Malayalam,1220
13,13,tt6511676,Operación Concha,Operación Concha,2017,Comedy,Spain,Spanish,195
14,14,tt6514342,Lavakusha,Lavakusha,2017,Comedy,India,Malayalam,256
15,15,tt6515050,Ça sent la coupe,Ça sent la coupe,2017,Comedy,Canada,French,171
16,16,tt6515342,Dr. Knock,Knock,2017,Comedy,"France, Belgium","French, English",2656
17,17,tt6515420,La deuxième étoile,La deuxième étoile,2017,Comedy,France,French,117
18,18,tt6537508,Behen Hogi Teri,Behen Hogi Teri,2017,Comedy,India,Hindi,1729
19,19,tt6548370,PolandJa,PolandJa,2017,Comedy,Poland,Polish,156
20,20,tt6556552,Un figlio all'improvviso,Momo,2017,Comedy,"France, Belgium","French, German",718
21,21,tt6688018,Pokkiri Simon: Oru Kadutha Aaradhakan,Pokkiri Simon: Oru Kadutha Aaradhakan,2017,Comedy,India,Malayalam,257
22,22,tt6697468,Varnyathil Aashanka,Varnyathil Aashanka,2017,Comedy,India,Malayalam,579
23,23,tt6697556,Nereden Nereye,Nereden Nereye,2017,Comedy,Turkey,Turkish,230
24,24,tt6712014,Fukrey Returns,Fukrey Returns,2017,Comedy,India,Hindi,4524
25,25,tt6719566,Strapped for Danger,Strapped for Danger,2017,Comedy,USA,English,124
26,26,tt6721848,Kolonya Cumhuriyeti,Kolonya Cumhuriyeti,2017,Comedy,Turkey,Turkish,3556
27,27,tt6750796,Kittu Unnadu Jagratha,Kittu Unnadu Jagratha,2017,Comedy,India,Telugu,115
28,28,tt5873216,They,They,2017,Drama,"USA, Qatar","English, Persian",468
29,29,tt5922578,Chotto imakara shigoto yametekuru,Chotto imakara shigoto yametekuru,2017,Drama,Japan,Japanese,477
30,30,tt5927352,Rosso Istanbul,Istanbul Kirmizisi,2017,Drama,"Italy, Turkey",Turkish,4253
31,31,tt5989220,La caméra de Claire,La caméra de Claire,2017,Drama,"South Korea, France","Korean, English, French",1780
32,32,tt5989394,Marvin ou la belle éducation,Marvin ou la belle éducation,2017,Drama,France,"French, English",1161
33,33,tt5990474,Columbus,Columbus,2017,Drama,USA,"English, Korean",13676
34,34,tt5991974,El último traje,El último traje,2017,Drama,"Argentina, Spain",Spanish,614
35,35,tt5992114,Extraordinary,Extraordinary,2017,Drama,USA,English,201
36,36,tt5999770,Carpinteros,Carpinteros,2017,Drama,Dominican Republic,Spanish,504
37,37,tt6000140,Mesunekotachi,Mesunekotachi,2017,Drama,Japan,Japanese,240
38,38,tt6002232,L'affido - Una storia di violenza,Jusqu'à la garde,2017,Drama,France,French,7774
39,39,tt6012684,"Cornélius, le meunier hurlant","Cornélius, le meunier hurlant",2017,Drama,"France, Belgium",French,117
40,40,tt6012792,Nos années folles,Nos années folles,2017,Drama,France,French,298
41,41,tt6022946,Great Great Great,Great Great Great,2017,Drama,Canada,English,166
42,42,tt6029350,Soleil battant,Soleil battant,2017,Drama,"France, Portugal","French, Portuguese",150
43,43,tt6034966,Le lion est mort ce soir,Le lion est mort ce soir,2017,Drama,"France, Japan",French,249
44,44,tt6040662,The Children Act - Il verdetto,The Children Act,2017,Drama,"UK, USA",English,10161
45,45,tt6054650,A Question of Faith,A Question of Faith,2017,Drama,USA,English,957
46,46,tt6057032,Gook,Gook,2017,Drama,USA,"English, Korean",2176
47,47,tt6058394,Anaarkali of Aarah,Anaarkali of Aarah,2017,Drama,India,Hindi,1445
48,48,tt6061558,Ivan,Ivan,2017,Drama,"Slovenia, Croatia","Slovenian, Italian",258
49,49,tt6069126,The Escape,The Escape,2017,Drama,UK,English,1806
50,50,tt6069668,Morir,Morir,2017,Drama,Spain,Spanish,494
51,51,tt6079186,Pieds nus dans l'aube,Pieds nus dans l'aube,2017,Drama,Canada,French,168
52,52,tt6084676,Gregoire,Gregoire,2017,Drama,Canada,English,180
53,53,tt6095808,Hooked,Hooked,2017,Drama,USA,English,465
54,54,tt6096190,Brotherly Love,Brotherly Love,2017,Drama,USA,English,130
55,55,tt6100122,Beyond Words,Beyond Words,2017,Drama,"Netherlands, Poland, France","Polish, German",336
56,56,tt6400280,Arábia,Arábia,2017,Drama,Brazil,Portuguese,998
57,57,tt6400316,Amore e tradimento,Meditation Park,2017,Drama,Canada,"English, Cantonese",452
58,58,tt6632000,Comme des rois,Comme des rois,2017,Drama,France,French,163
59,59,tt6642814,Kadugu,Kadugu,2017,Drama,India,Tamil,493
60,60,tt6645154,Les hommes du feu,Les hommes du feu,2017,Drama,France,French,357
61,61,tt6679058,Mahalle,Mahalle,2017,Drama,Turkey,Turkish,294
62,62,tt7080960,Michael Inside,Michael Inside,2017,Drama,Ireland,English,1360
63,63,tt7087940,Mutalim Besafek,Mutalim Besafek,2017,Drama,Israel,Hebrew,162
64,64,tt7089738,Marita,Marita,2017,Drama,Romania,Romanian,213
65,65,tt7093470,Waru,Waru,2017,Drama,New Zealand,"English, Maori",259
66,66,tt7095054,Pomegranate Orchard,Pomegranate Orchard,2017,Drama,Azerbaijan,Azerbaijani,158
67,67,tt7106928,Ptaki spiewaja w Kigali,Ptaki spiewaja w Kigali,2017,Drama,Poland,"Polish, English, Kinyarwanda",275
68,68,tt7340764,L'ordine delle cose,L'ordine delle cose,2017,Drama,"Italy, France","Italian, English, Arabic",237
69,69,tt7341610,Members Only,Members Only,2017,Drama,Hong Kong,"Cantonese, Mandarin",136
70,70,tt7356432,Babam,Babam,2017,Drama,Turkey,Turkish,1127
71,71,tt7365576,The Mystery of Godliness: The Sequel,The Mystery of Godliness: The Sequel,2017,Drama,South Korea,English,106
72,72,tt7372916,Yol Ayrimi,Yol Ayrimi,2017,Drama,Turkey,Turkish,3554
73,73,tt7388606,Volubilis,Volubilis,2017,Drama,"Morocco, France, Qatar",Arabic,137
74,74,tt7464158,Photocopy,Photocopy,2017,Drama,Egypt,Arabic,864
75,75,tt7473406,Polyxeni,Polyxeni,2017,Drama,Greece,"Greek, Turkish",125
76,76,tt7475710,Manusangada,Manusangada,2017,Drama,India,Tamil,107
77,77,tt7471004,The House Next Door,The House Next Door,2017,Horror,India,"Telugu, Tamil, Hindi",1916
