imdb_title_id,title,original_title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,gross,gross_mil
tt2140479,The Accountant,The Accountant,2016,"Action, Crime, Drama",128,USA,"English, Indonesian, French",Gavin O'Connor,Bill Dubuque,Warner Bros.,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal, Jeffrey Tambor, Cynthia Addai-Robinson, John Lithgow, Jean Smart, Andy Umberger, Alison Wright, Jason Davis, Robert C. Treveiler, Mary Kraft, Seth Lee, Jake Presley",7.3,253669,$ 44000000,155160000,155.16
tt2304933,La quinta onda,The 5th Wave,2016,"Action, Adventure, Sci-Fi",112,"USA, UK",English,J Blakeson,"Susannah Grant, Akiva Goldsman",Columbia Pictures,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders, Nick Robinson, Ron Livingston, Maggie Siff, Zackary Arthur, David Maldonado, Paul Ryden, E. Roger Mitchell, Charmin Lee, Parker Wierling, Madison Staines, Tony Revolori",5.2,97569,$ 38000000,109906000,109.91
tt2381991,Il cacciatore e la regina di ghiaccio,The Huntsman: Winter's War,2016,"Action, Adventure, Drama",114,"USA, China",English,Cedric Nicolas-Troyan,"Evan Spiliotopoulos, Craig Mazin",Universal Pictures,"Chris Hemsworth, Charlize Theron, Jessica Chastain, Emily Blunt, Nick Frost, Rob Brydon, Sheridan Smith, Alexandra Roach, Sope Dirisu, Sam Hazeldine, Sam Claflin, Sophie Cookson, Conrad Khan, Niamh Walter, Nana Agyeman-Bediako",6.1,95701,$ 115000000,164989000,164.99
tt2649554,Midnight Special - Fuga nella notte,Midnight Special,2016,"Drama, Mystery, Sci-Fi",112,"USA, Greece",English,Jeff Nichols,Jeff Nichols,Warner Bros.,"Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver, Jaeden Martell, Bill Camp, Scott Haze, Sam Shepard, Paul Sparks, David Jensen, Sharon Landry, Dana Gourrier, Sharon Garrison, Allison Gabriel, Sean Bridgers",6.6,73291,$ 18000000,6740000,6.74
tt2709768,Pets - Vita da animali,The Secret Life of Pets,2016,"Animation, Adventure, Comedy",87,"USA, France, Japan",English,"Chris Renaud, Yarrow Cheney","Cinco Paul, Ken Daurio",Universal Pictures,"Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate, Ellie Kemper, Albert Brooks, Lake Bell, Dana Carvey, Hannibal Buress, Bobby Moynihan, Chris Renaud, Steve Coogan, Michael Beattie, Sandra Echeverría, Jaime Camil",6.5,179235,$ 75000000,875450000,875.45
tt2869728,Un poliziotto ancora in prova,Ride Along 2,2016,"Action, Comedy, Crime",102,USA,English,Tim Story,"Phil Hay, Matt Manfredi",Universal Pictures,"Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt, Olivia Munn, Ken Jeong, Bruce McGill, Michael Rose, Sherri Shepherd, Arturo Del Puerto, Eric Goins, Carlos Gómez, Utkarsh Ambudkar, Glen Powell, Nadine Velazquez",5.9,52409,$ 40000000,124608000,124.61
tt2975590,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi",152,USA,English,Zack Snyder,"Chris Terrio, David S. Goyer",Warner Bros.,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg, Diane Lane, Laurence Fishburne, Jeremy Irons, Holly Hunter, Gal Gadot, Scoot McNairy, Callan Mulvey, Tao Okamoto, Brandon Spink, Lauren Cohan, Alan D. Purwin",6.4,612550,$ 250000000,873637000,873.64
tt3062096,Inferno,Inferno,2016,"Action, Adventure, Crime",121,"USA, Hungary","English, French, Italian, Turkish",Ron Howard,"Dan Brown, David Koepp",Columbia Pictures,"Tom Hanks, Felicity Jones, Omar Sy, Irrfan Khan, Sidse Babett Knudsen, Ben Foster, Ana Ularu, Ida Darvish, Paolo Antonio Simioni, Alessandro Grimaldi, Fausto Maria Sciarappa, Robin Mugnaini, Paul Ritter, Vincenzo Tanassi, Alessandro Fabrizi",6.2,153986,$ 75000000,220021000,220.02
tt3799694,The Nice Guys,The Nice Guys,2016,"Action, Comedy, Crime",116,USA,"English, German",Shane Black,"Shane Black, Anthony Bagarozzi",Warner Bros.,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer, Margaret Qualley, Yaya DaCosta, Keith David, Beau Knapp, Lois Smith, Murielle Telio, Gil Gerard, Daisy Tahan, Kim Basinger, Jack Kilmer, Lance Valentine Butler",7.4,270133,$ 50000000,62788000,62.79
tt3960412,Vite da popstar,Popstar: Never Stop Never Stopping,2016,"Comedy, Music",87,"USA, China",English,"Akiva Schaffer, Jorma Taccone","Andy Samberg, Akiva Schaffer",Universal Pictures,"Andy Samberg, Jorma Taccone, Akiva Schaffer, Sarah Silverman, Tim Meadows, Maya Rudolph, Joan Cusack, Imogen Poots, Chris Redd, Edgar Blackmon, James Buckley, Evan Fine, Maxwell Jenkins, Elliott Smith, Quest Love",6.7,53125,$ 20000000,9680000,9.68
tt4052882,Paradise Beach: Dentro l'incubo,The Shallows,2016,"Drama, Horror, Thriller",86,USA,"English, Spanish",Jaume Collet-Serra,Anthony Jaswinski,Columbia Pictures,"Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Joseph Salas, Brett Cullen, Sedona Legge, Pablo Calva, Diego Espejel, Janelle Bailey, Ava Dean, Chelsea Moody, Sully Seagull",6.3,117424,$ 17000000,119100000,119.10
tt4094724,La notte del giudizio - Election Year,The Purge: Election Year,2016,"Action, Horror, Sci-Fi",108,"USA, Japan","English, Russian, Afrikaans",James DeMonaco,James DeMonaco,Universal Pictures,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria, Betty Gabriel, Terry Serpico, Edwin Hodge, Kyle Secor, Barry Nolan, Liza Colón-Zayas, Ethan Phillips, Adam Cantor, Christopher James Baker, Jared Kemp, Brittany Mirabile",6,87759,$ 10000000,118587000,118.59
tt4196776,Jason Bourne,Jason Bourne,2016,"Action, Thriller",123,"USA, China","English, Greek, German, Japanese",Paul Greengrass,"Paul Greengrass, Christopher Rouse",Universal Pictures,"Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel, Julia Stiles, Riz Ahmed, Ato Essandoh, Scott Shepherd, Bill Camp, Vinzenz Kiefer, Stephen Kunken, Ben Stylianou, Kaya Yuzuki, Matthew O'Neill, Lizzie Phillips",6.6,203948,$ 120000000,415484000,415.48
tt4257926,Miracoli dal cielo,Miracles from Heaven,2016,"Biography, Drama, Family",109,USA,English,Patricia Riggen,"Christy Beam, Randy Brown",Columbia Pictures,"Jennifer Garner, Kylie Rogers, Martin Henderson, Brighton Sharbino, Courtney Fansler, Queen Latifah, Eugenio Derbez, Kelly Collins Lintz, John Carroll Lynch, Brandon Spink, Rhoda Griffis, Erica McGee, Wayne Pére, Bruce Altman, Hannah Alligood",7.1,20682,$ 13000000,73980000,73.98
tt4438848,Cattivi vicini 2,Neighbors 2: Sorority Rising,2016,Comedy,92,"USA, China",English,Nicholas Stoller,"Andrew Jay Cohen, Brendan O'Brien",Universal Pictures,"Seth Rogen, Zac Efron, Rose Byrne, Chloë Grace Moretz, Ike Barinholtz, Kiersey Clemons, Dave Franco, Jerrod Carmichael, Christopher Mintz-Plasse, Beanie Feldstein, Clara Mamet, Awkwafina, Selena Gomez, Hannibal Buress, Elise Vargas",5.7,111318,$ 35000000,108007000,108.01
